Date,CompanyName,ProductName,ScrapedSKU,SKU,Price,Rating,InStock,Reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 1967 PONTIAC GTO - CHAMPAGNE METALLIC ELECTRIC READYSET,KYO-34431T1,KYO-34431T1,419.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 1969 CHEVY EL CAMINO SS 396 TUXEDO BLACK 4WD ELECTRIC CAR READYSET [34419T1],KYO-34419T1,KYO-34419T1,389.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 1970 DODGE CHARGER SUPERCHARGED VE GRAY 4WD ELECTRIC CAR READYSET [34492T1],KYO-34492T1,KYO-34492T1,599.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 1971 DATSUN 240Z TUNED VER. WHITE 4WD ELECTRIC TOURING CAR [34427T1],KYO-34427T1,KYO-34427T1,459.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 2015 DODGE CHALLENGER SRT HELLCAT CRAZY BLUE 4WD ELECTRIC CAR READYSET [34415T2],KYO-34415T2,KYO-34415T2,389.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 2020 MERCEDES AMG GT3 4WD ELECTRIC TOURING CAR [34424],KYO-34424,KYO-34424,449.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 2021 TOYOTA TUNDRA WIDE BODY VER. INFERNO 4WD ELECTRIC RC CAR [34432T1],KYO-34432T1,KYO-34432T1,419.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 READYSET 1970 CHEVY CHEVELLE SS 454 LS6 4WD ELECTRIC CAR [34416T2],KYO-34416T2,KYO-34416T2,399.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 TOYOTA SUPRA (A80) 4WD ELECTRIC TOURING CAR [34471T1],KYO-34471T1,KYO-34471T1,379.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 TOMAHAWK 2WD ELECTRIC RACING BUGGY KIT [30615],KYO-30615,KYO-30615,519.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/12 FANTOM 4WD ELECTRIC RACING CAR KIT [30635],KYO-30635,KYO-30635,389.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/18 MINI-Z DODGE CHALLENGER SRT HELLCAT REDEYE DESTROYER GRAY AWD RC CAR 32621G,KYO-32621G,KYO-32621G,299.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/18 MINI-Z MERCEDES AMG GT3 NO.4 24H NURBURGRING 2018 RWD RC CAR 32338YBK,KYO-32338YBK,KYO-32338YBK,259.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/18 MINI-Z SUZUKI JIMNY SIERRA MEDIUM GRAY,KYO-32523G,KYO-32523G,349.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/18 MINI-Z TOYOTA SPRINTER TRUENO AE86 GTV WHITE AWD RC CAR 32623GTV,KYO-32623GTV,KYO-32623GTV,299.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z CHEVROLET CAMARO ZL1 1LE CRASH [32339OR],KYO-32339OR,KYO-32339OR,279.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z CHEVROLET CAMARO ZL1 1LE SHADOW GRAY [32339GM],KYO-32339GM,KYO-32339GM,279.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z NISSAN SILVIA K'S (S13) W/ AERO KIT PEARL WHITE AWD [32622PW],KYO-32622PW,KYO-32622PW,329.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z NISSAN SKYLINE GT-R (R34) V.SPEC II NUR MILLENNIUM JADE AWD [32624MJ],KYO-32624MJ,KYO-32624MJ,329.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z SUBARU IMPREZA W/ AERO KIT & CFRP HOOD METALLIC YELLOW AWD [32620MY],KYO-32620MY,KYO-32620MY,329.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z TOYOTA 4 RUNNER (HILUX SURF) QUICK SAND 4X4 [32524SY],KYO-32524SY,KYO-32524SY,349.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z TOYOTA GR SUPRA TRD AERO VERSION WHITE AWD [32626W],KYO-32626W,KYO-32626W,329.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z TOYOTA GR SUPRA TRD AERO VERSION YELLOW AWD [32626Y],KYO-32626Y,KYO-32626Y,329.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 GP 4WD INFERNO GT2 RACE SPEC 2020 MERCEDES AMG GT3 NITRO TOURING CAR,KYO-33019,KYO-33019,919.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 INFERNO GT2 VE RACE SPEC 2020 MERCEDES AMG GT3 BRUSHLESS ELECTRIC TOURING CAR,KYO-34109,KYO-34109,949.0,0 out of 5 stars,No,No reviews
